date,Pmm,Qmmd,rr
1992-09-01,105.15599999999999,29.019497593882498,0.2759661606934697
1992-10-01,20.574,36.3883995668901,1.7686594520700931
1992-11-01,100.076,161.811529816017,1.6168864644471903
1992-12-01,77.216,103.89824502796962,1.3455533183274144
1993-01-01,66.03999999999999,79.41568457169949,1.2025391364581994
1993-02-01,54.356,34.919004232698846,0.6424130589575915
1993-03-01,144.018,121.02166587199953,0.8403231948228661
1993-04-01,113.792,145.38771815386556,1.27766203383248
1993-05-01,62.738,47.557580536325915,0.7580346924722802
1993-06-01,66.294,20.640431339503092,0.31134689925940645
1993-07-01,51.56199999999999,14.125975991692583,0.27396097885443904
1993-08-01,64.008,9.515100974169924,0.14865487086254725
1993-09-01,106.934,7.179656208951495,0.06714100481560116
1993-10-01,60.198,7.225667335519048,0.12003168436690667
1993-11-01,87.63,30.985092920848356,0.3535900139318539
1993-12-01,82.296,64.52288314366454,0.7840342561444608
1994-01-01,79.502,55.235277183114704,0.694765882406917
1994-02-01,87.37599999999999,83.98462944953276,0.9611864751136785
1994-03-01,153.416,120.43832480647352,0.7850440945303848
1994-04-01,83.82,69.19481292565858,0.8255167373617106
1994-05-01,70.35799999999999,34.381034138935966,0.48865849141442297
1994-06-01,43.18,19.284663483096054,0.44661101165113604
1994-07-01,99.05999999999999,20.580336807238343,0.20775627707690636
1994-08-01,144.78,39.03463948965353,0.2696134790002316
1994-09-01,22.605999999999998,22.071097308027053,0.9763380212344976
1994-10-01,19.049999999999997,18.150709266419895,0.9527931373448765
1994-11-01,53.08599999999999,21.17960172352426,0.39896774523460543
1994-12-01,39.116,35.26980906551998,0.9016721818570401
1995-01-01,106.426,79.03031137943978,0.742584625744083
1995-02-01,27.94,34.19306868448869,1.2238034604326662
1995-03-01,39.878,42.08889808088296,1.0554415487457487
1995-04-01,32.512,26.55474155817161,0.816767395366991
1995-05-01,134.36599999999999,42.00431762734922,0.3126112083960914
1995-06-01,139.446,63.62890695929463,0.456297828258212
1995-07-01,154.178,50.94615997416271,0.33043728660485094
1995-08-01,134.36599999999999,29.84313676911697,0.2221033354354299
1995-09-01,64.008,22.142874665472434,0.3459391742512254
1995-10-01,133.60399999999998,72.94299932487726,0.5459641876356791
1995-11-01,57.657999999999994,77.02086544837128,1.3358227036728865
1995-12-01,52.832,65.8122349391132,1.2456888805858797
1996-01-01,180.594,113.68885262609099,0.6295272967323997
1996-02-01,51.308,58.232001861297064,1.134949751720922
1996-03-01,86.614,61.110457939363165,0.7055494254896802
1996-04-01,30.987999999999996,65.54473025021697,2.115164910617561
1996-05-01,144.526,70.93739432263527,0.49082790862983317
1996-06-01,177.292,61.08405155368092,0.3445392434722431
1996-07-01,121.15799999999999,13.578723653265637,0.11207451140878555
1996-08-01,189.23,28.064466645041207,0.14830875994842893
1996-09-01,310.642,212.1611455318126,0.6829763700073158
1996-10-01,56.641999999999996,58.8796784846671,1.0395056404199552
1996-11-01,77.978,56.58984474926346,0.7257155191113323
1996-12-01,116.078,114.11863655790722,0.9831202859965473
1997-01-01,38.862,34.84066528850818,0.896522703116365
1997-02-01,53.08599999999999,36.59885045884256,0.6894256575903736
1997-03-01,121.15799999999999,62.54680528177634,0.5162416454693569
1997-04-01,45.211999999999996,33.46617290407191,0.7402055406545146
1997-05-01,38.354,23.73269912224485,0.6187802868604279
1997-06-01,81.788,67.09574532197155,0.8203617318185009
1997-07-01,134.36599999999999,22.179203450623163,0.1650655928629502
1997-08-01,81.788,9.057150230959307,0.11073935333984579
1997-09-01,74.422,26.705177937209868,0.35883445670917025
1997-10-01,43.18,23.26282549580195,0.538740747934274
1997-11-01,106.426,85.2026039842888,0.800580722608092
1997-12-01,89.66199999999999,35.854830537407594,0.3998888106155071
1998-01-01,188.72199999999998,146.04219642203253,0.7738482870149349
1998-02-01,138.938,163.2614004286735,1.1750665795439226
1998-03-01,141.478,127.28470042037482,0.8996783981988352
1998-04-01,103.378,76.25980140526868,0.7376792103278133
1998-05-01,125.73,96.17709787383095,0.7649494780389003
1998-06-01,119.38,24.727339649609515,0.20713134234888186
1998-07-01,19.304,10.827898439330395,0.5609147554564026
1998-08-01,46.482,10.794370331448997,0.23222689065550098
1998-09-01,35.81399999999999,5.036738001161817,0.14063600829736467
1998-10-01,31.75,5.4221912127720815,0.17077767599282145
1998-11-01,17.525999999999996,5.622879743957164,0.32083075111018855
1998-12-01,47.751999999999995,5.231265042354376,0.10955070033410906
1999-01-01,106.67999999999999,27.488407340415446,0.2576716098651617
1999-02-01,40.132,20.58001672983613,0.51280815134646
1999-03-01,63.75399999999999,37.191633807733744,0.583361574297044
1999-04-01,33.274,20.791267815294113,0.624850267935749
1999-05-01,60.959999999999994,11.432524652103316,0.18754141489670795
1999-06-01,15.493999999999998,6.74123018727563,0.4350864971779806
1999-07-01,48.00599999999999,8.151571240759315,0.1698031754522209
1999-08-01,66.548,10.062193273895765,0.15120203873738902
1999-09-01,196.85,182.27031722976645,0.9259350633973403
1999-10-01,37.846,88.01816485282082,2.3256926716910855
1999-11-01,33.019999999999996,44.1913264972932,1.338320002946493
1999-12-01,40.64,54.966092087856886,1.3525121084610454
2000-01-01,29.717999999999996,29.970287517144524,1.0084893841155034
2000-02-01,35.05199999999999,23.852888186774354,0.6805000623865788
2000-03-01,68.072,35.89796096735527,0.5273528171253271
2000-04-01,76.19999999999999,55.56895787491766,0.7292514156813342
2000-05-01,100.076,30.817852478194123,0.3079444869718426
2000-06-01,185.42,12.395877613402044,0.06685296954698547
2000-07-01,125.984,8.231590591311582,0.06533838099529768
